sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,age_bin,split,nll,sigma_knn_corrected,raw_sigma_knn,sigma_mlp,political_entity,pulldown_strategy,data_type,publication
I1907.AG,47.63868000,17.36453000,47.60718854,18.25454403,6183.000000,66.969387,949.746948,0.36751431,Hungary_C_Balaton_Lasinja.AG,1240k,"Proletár-dülö-M85-2 (Győr-Moson-Sopron County, Csorna)",>6000 BP,test,6.85868161,1566.645630,853.842468,1194.215088,Hungary,Native Pulldown on 3.2M snpset,1240k,LipsonNature2017
I1770.AG,54.20194900,-0.43435500,49.01545757,14.81406959,3950.000000,1199.652690,1143.344971,0.66259861,England_BellBeaker.AG,1240k,"Staxton Beacon (England, North Yorkshire, Staxton)",2500-4000 BP,test,7.59217436,1404.598022,656.782410,1968.356934,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I1840.AG,42.57315380,-2.62193800,45.90797917,18.61639630,3475.000000,1731.930754,1483.765991,0.47119507,Spain_EBA.AG,1240k,"El Sotillo (Basque Country, Álava, Laguardia)",2500-4000 BP,test,7.98357886,2161.548828,1618.202148,2040.411133,Spain,Native Pulldown on 3.2M snpset,1240k,OlaldeScience2019
I1896.AG,45.59690000,18.28247000,47.51585483,16.56991582,7190.000000,250.019895,647.924927,0.14004976,Hungary_MN_Vinca.AG,1240k,Szederkény-Kukorica-dülö,>6000 BP,test,6.54822570,1731.344604,822.906372,698.695679,Hungary,Native Pulldown on 3.2M snpset,1240k,LipsonNature2017
I2417.AG,51.16802300,-1.77254020,49.34811039,12.14228729,4250.000000,1010.713914,1072.848389,0.68833303,England_BellBeaker_lowEEF.AG,1240k,"Amesbury Down (England, Wiltshire)",4000-6000 BP,test,7.42183411,1293.120728,438.400208,1921.732666,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I2458.AG,51.16802300,-1.77254020,46.49845137,16.91858713,3331.000000,1461.841504,1329.030518,0.58409643,England_MBA_highEEF.AG,1240k,"Amesbury Down (England, Wiltshire)",2500-4000 BP,test,7.79712882,1738.972290,1219.849731,2060.813232,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
I2470.AG,42.57315380,-2.62193800,46.90339278,17.15162195,3275.000000,1633.343482,1457.875488,0.50299895,Spain_MBA.AG,1240k,"El Sotillo (Basque Country, Álava, Laguardia)",2500-4000 BP,test,7.91233731,2055.591797,1483.912598,2067.958252,Spain,Native Pulldown on 3.2M snpset,1240k,OlaldeScience2019
I2532.AG,45.46600000,27.01000000,46.39813568,18.08012452,7614.000000,698.540932,961.435730,0.21121337,Romania_Eneolithic_oEEF.AG,1240k,"Coțatcu (Buzău County, Podgoria)",>6000 BP,test,7.13237258,2091.989746,1222.732910,1082.531372,Romania,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I2533.AG,44.26666700,23.90000000,47.91508788,23.17507632,7371.000000,409.357432,696.258728,0.34858871,Romania_Eneolithic_oEEF.AG,1240k,"Cârcea (Dolj County, Cârcea)",>6000 BP,test,6.71855727,1179.271973,132.896698,862.666626,Romania,Native Pulldown on 3.2M snpset,1240k,MathiesonNature2018
I2566.AG,51.16802300,-1.77254020,48.31523754,11.91235657,4078.000000,1034.182702,1252.685669,0.58667797,England_C_EBA.AG,1240k,"Amesbury Down (England, Wiltshire)",4000-6000 BP,test,7.47382995,1635.468628,1004.156616,1948.488525,United Kingdom,Native Pulldown on 3.2M snpset,1240k,OlaldeNature2018
