sample_id,true_lat,true_lon,pred_lat,pred_lon,age_bp,error_km,sigma_final,alpha_precision,group,sequencing_type,locality_id,mu_knn_lat,mu_knn_lon,sigma_knn_corrected,mu_mlp_lat,mu_mlp_lon,sigma_mlp,neighbor_ids,neighbor_lats,neighbor_lons,neighbor_distances,potential_outlier,country,original_group_id,political_entity,data_type,publication,group_id,age_bin,nll,raw_sigma_knn,true_x,true_y,pred_x,pred_y,mu_knn_x,mu_knn_y,mu_mlp_x,mu_mlp_y
I2567.AG,55.97100000,-2.44400000,48.65005283,13.85190648,4018.000000,1371.499746,993.822021,0.64475697,UnitedKingdom,1240k,Dryburn Bridge (Scotland),,,1237.686279,,,1667.423096,,,,,false,UnitedKingdom,Scotland_C_EBA.AG,United Kingdom,1240k,OlaldeNature2018,UnitedKingdom,4000-6000 BP,7.85379335,89.389023,3547.999125,3719.029055,4604.775222,2844.823225,4634.750821,3036.409250,4550.370282,2497.099512
I2568.AG,55.97100000,-2.44400000,48.94631089,16.70432602,4113.000000,1509.694589,972.986023,0.61579305,UnitedKingdom,1240k,Dryburn Bridge (Scotland),,,1239.907349,,,1569.726440,,,,,false,UnitedKingdom,Scotland_C_EBA_mediumhighEEF.AG,United Kingdom,1240k,OlaldeNature2018,UnitedKingdom,4000-6000 BP,8.08411611,139.995850,3547.999125,3719.029055,4811.461533,2892.687421,4983.731705,3124.838678,4535.353150,2520.603845
I3005.AG,51.32470600,-2.75324800,49.99582210,4.32535564,5657.000000,521.285743,986.206360,0.69044846,UnitedKingdom,1240k,"Aveline's Hole (England, Somerset, Burrington Combe)",,,1186.867310,,,1772.561279,,,,,false,UnitedKingdom,England_N.AG,United Kingdom,1240k,BraceDiekmannNatureEcologyEvolution2019,UnitedKingdom,4000-6000 BP,7.03356231,146.352631,3437.222037,3212.316840,3914.536759,3002.770944,3516.058670,3259.521509,4803.333924,2430.094141
I3574.AG,37.32444440,-4.00583330,46.45230507,10.18385892,1450.000000,1544.069711,1008.747253,0.56975174,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1336.409424,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.08795583,910.018494,3077.535655,1697.376129,4335.140885,2593.244623,4403.245865,2537.306299,4244.953629,2667.320368
I3575.AG,37.32444440,-4.00583330,46.47918737,10.13679840,1450.000000,1542.851467,1035.244019,0.54685229,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1399.934326,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.05292880,910.018494,3077.535655,1697.376129,4331.516098,2596.221887,4403.245865,2537.306299,4244.953629,2667.320368
I3576.AG,37.32444440,-4.00583330,47.74917853,12.98849767,1468.000000,1801.327378,1128.501465,0.45881364,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1666.034424,,,1534.011841,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.30259198,1089.258545,3077.535655,1697.376129,4545.162831,2741.814157,4900.780259,2828.366411,4243.673142,2668.435816
I3577.AG,37.32444440,-4.00583330,46.44806327,10.19127718,1450.000000,1544.263078,1004.504456,0.57336336,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1326.590576,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.09395400,910.018494,3077.535655,1697.376129,4335.712601,2592.775049,4403.245865,2537.306299,4244.953629,2667.320368
I3578.AG,37.32444440,-4.00583330,46.45712101,10.17543503,1450.000000,1543.850606,1013.543213,0.56565082,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1347.621948,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.08130916,910.018494,3077.535655,1697.376129,4334.491776,2593.777826,4403.245865,2537.306299,4244.953629,2667.320368
I3579.AG,37.32444440,-4.00583330,46.45424950,10.18045786,1450.000000,1543.981184,1010.686584,0.56809586,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1340.928711,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.08525123,910.018494,3077.535655,1697.376129,4334.878800,2593.459894,4403.245865,2537.306299,4244.953629,2667.320368
I3581.AG,37.32444440,-4.00583330,46.50677851,10.08840923,1450.000000,1541.613960,1061.772827,0.52333021,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1467.721680,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.02173762,910.018494,3077.535655,1697.376129,4327.792771,2599.280084,4403.245865,2537.306299,4244.953629,2667.320368
I3582.AG,37.32444440,-4.00583330,46.48566845,10.12543992,1450.000000,1542.559607,1041.534424,0.54132867,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1415.608276,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.04519782,910.018494,3077.535655,1697.376129,4330.641770,2596.940027,4403.245865,2537.306299,4244.953629,2667.320368
I3583.AG,37.32444440,-4.00583330,46.45673983,10.17610123,1450.000000,1543.867893,1013.164673,0.56597525,Spain,1240k,"El Castillón (Andalusia, Granada, Montefrío)",,,1346.732422,,,1537.881226,,,,,false,Spain,Spain_Visigoth_Granada.AG,Spain,1240k,OlaldeScience2019,Spain,1000-2500 BP,8.08182865,910.018494,3077.535655,1697.376129,4334.543106,2593.735620,4403.245865,2537.306299,4244.953629,2667.320368
I3587.AG,48.88330000,12.53320000,45.25490623,9.49326767,4175.000000,464.564675,919.913574,0.63094777,Germany,1240k,"Stkr.-Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",,,1158.111328,,,1514.269165,,,,,false,Germany,Germany_BellBeaker_1.or.2d.rel.of_I3588_and_I3599_contam_lc.AG,Germany,1240k,OlaldeNature2018,Germany,4000-6000 BP,6.95179679,277.286743,4506.807145,2866.533067,4281.159775,2460.449823,4137.037613,2417.615320,4527.557320,2533.681665
I3588.AG,48.88330000,12.53320000,45.30861897,9.74376730,4175.000000,450.097449,980.813965,0.58046597,Germany,1240k,"Stkr.-Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",,,1287.354858,,,1514.269165,,,,,false,Germany,Germany_BellBeaker.AG,Germany,1240k,OlaldeNature2018,Germany,4000-6000 BP,6.99367831,277.286743,4506.807145,2866.533067,4300.873917,2466.309107,4137.037613,2417.615320,4527.557320,2533.681665
I3589.AG,48.88330000,12.53320000,45.32215261,9.80740561,4175.000000,446.502715,995.674500,0.56765687,Germany,1240k,"Stkr.-Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",,,1321.522095,,,1514.269165,,,,,false,Germany,Germany_BellBeaker.AG,Germany,1240k,OlaldeNature2018,Germany,4000-6000 BP,7.00397071,277.286743,4506.807145,2866.533067,4305.876145,2467.795801,4137.037613,2417.615320,4527.557320,2533.681665
I3590.AG,48.88330000,12.53320000,47.68819130,12.72450841,4186.000000,133.587239,931.085999,0.61753923,Germany,1240k,"Stkr.-Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",,,1184.834106,,,1505.554077,,,,,false,Germany,Germany_BellBeaker.AG,Germany,1240k,OlaldeNature2018,Germany,4000-6000 BP,6.84664413,119.577988,4506.807145,2866.533067,4525.614647,2734.276392,4525.096123,2857.265186,4526.451897,2535.692896
